prompt_A,prompt_B,cosine_similarity
Silent movie theater with piano accompaniment,Silent movie theater including piano accompaniment,0.9454894
Silent night forest with owl hoots,Silent night forest comprising owl hoots,0.96073174
Silent snowfall in city park,Silent snowfall during city park,0.95241165
Singing bowl resonating,Singing bowl resonating,0.9999999
Single cricket chirping at night,Single cricket tweeting while night,0.7994691
Sizzling fajitas on hot plate,Sizzling fajitas on hot plate,1.0
Skateboard rolling on pavement,Skateboard rolling above pavement,0.94618034
Ski lift machinery operating,Ski lift machinery operating,1.0
Skiing down fresh powder slope,Skiing down fresh powder slope,1.0
Skydiver falling through air,Skydiver falling through air,1.0000001
Skywriting airplane overhead,Skywriting airplane overhead,1.0
Sleepy cat purring by fireplace,Sleepy cat purring by fireplace,1.0000001
Sleigh bells jingling on horse-drawn sleigh,Sleigh bells jingling against horse-drawn sleigh,0.9755602
Sliding glass door opening and closing,Sliding glass door opening also closing,0.9336762
Slot machine spinning and paying out,Slot gadget spinning and paying out,0.9165174
Slow ticking grandfather clock,Slow marking time grandfather chronometer,0.7669927
Slow water drip in quiet cave,Leisurely water drip amid still cave,0.79967386
Small airplane propeller starting,Small airplane propeller starting,1.0000001
Small boat motor puttering,Small boat motor puttering,1.0000001
Small creek with water over rocks,Small creek with water over rubble,0.9188819
Small fountain in garden,Small fountain in garden,0.9999998
Small stream babbling over rocks,Small run babbling over crags,0.808858
Small town parade with marching band,Small town parade accompanied by marching band,0.9368134
Small waves lapping at lake shore,Small surf lapping in the course of lake shore,0.86501276
Smartphone notification sounds,Smartphone notification sounds,1.0
Smoke detector battery warning beep,Smoke detector battery warning beep,0.9999999
Snapping twigs while walking in forest,Snapping twigs while strolling during forest,0.9483405
Sneakers squeaking on basketball court,Sneakers squeaking atop basketball court,0.927593
Snoring person in deep sleep,Snoring person in deep sleep,1.0
Snow blower clearing driveway,Snow blower clearing driveway,1.0
Snow falling from roof in large chunk,Snow falling from shelter in large chunk,0.94641113
Snow plow clearing street at night,Snow plow clearing street at night,0.99999994
Snow shovel scraping sidewalk,Snow shovel scraping sidewalk,1.0
Soccer ball being kicked in game,Soccer ball being kicked amid game,0.9138082
Soccer match with referee whistle,Soccer match featuring referee whistle,0.95513153
Soda fizzing in glass with ice,Soda fizzing within glass together with ice,0.9525366
Soft wind through autumn leaves,Soft air current via autumn leaves,0.8842286
Sonar pings in submarine,Sonar pings throughout submarine,0.918193
Sorting coins into metal container,Sorting coins into metal container,1.0
Space shuttle launch sequence,Space shuttle launch sequence,1.0
Spaceship engine room ambience,Spaceship motor room ambience,0.93299794
Sparkling wine cork popping,Sparkling wine cork popping,1.0
Sparks from welder's torch,Sparks from welder's torch,1.0
Speaking through walkie talkie with static,Speaking across walkie talkie featuring static,0.90911114
Splashing in puddles with boots,Splashing inside puddles including boots,0.88604975
Splashing water in bathtub,Splashing water during bathtub,0.9199079
Splitting firewood with axe,Splitting firewood including axe,0.9356388
Sports arena with cheering crowd,Sports arena alongside cheering congregation,0.8719775
Sports car engine revving,Sports conveyance driving force revving,0.75145227
Spring peeper frogs chorus,Spring peeper frogs chorus,1.0000001
Squeaky door hinge opening slowly,Squeaky door hinge opening slowly,1.0
Squeaky floorboard in old house,Squeaky floorboard amidst antique house,0.8066869
Squeaky toy being repeatedly pressed,Squeaky toy being repeatedly pressed,0.99999994
Squirrels chattering in trees,Squirrels chattering amid trees,0.9761838
Stadium crowd doing the wave,Stadium horde doing the wave,0.73233473
Stadium crowd singing team song,Stadium throng singing team song,0.8653332
Stage curtain rising with mechanical sound,Stage curtain rising including mechanical sound,0.9328935
Stampeding cattle herd,Stampeding cattle herd,1.0
Starting car engine on cold morning,Starting automobile motor upon cold morning,0.89092755
Starting lawn mower engine,Starting lawn mower driving force,0.87663424
Steam engine train departing station,Steam engine transit vehicle departing station,0.89826185
Steam escaping pressure cooker valve,Steam escaping pressure cooker valve,1.0
Steam hissing from old radiator,Steam hissing from old radiator,1.0
Steam locomotive chugging along tracks,Steam locomotive chugging along tracks,1.0
Steam rising from hot springs,Steam rising from hot springs,1.0000001
Steam train whistle in distance,Steam train whistle inside distance,0.9161196
Steaming kettle beginning to whistle,Steaming kettle beginning to whistle,0.99999994
Steel drums playing Caribbean music,Steel drums working Caribbean music,0.94663113
Steel factory with molten metal pouring,Steel factory including molten metal pouring,0.95500684
Stethoscope hearing steady heartbeat,Stethoscope hearing steady cardiac rhythm,0.95743257
Stock market trading floor shouting,Stock trading place trading floor shouting,0.92297035
Stone skipping across calm lake,Stone skipping across calm lake,1.0
Storm with heavy rain and thunder,Storm featuring powerful rain coupled with thunder,0.8379127
Storyteller by campfire with crackling,Storyteller by fire pit accompanied by sparking,0.83885014
Street busker playing accordion,Street busker playing accordion,1.0
Street cafe with distant conversations,Thoroughfare cafe with far-off conversations,0.66855246
Street construction with jackhammer,Avenue construction featuring jackhammer,0.8269743
Street market with vendors calling,Route market comprising vendors calling,0.76751757
Street musician playing violin,Boulevard musician operating violin,0.7890305
Street performer tap dancing,Road performer tap dancing,0.92518044
Street protest with chanting crowd,Avenue protest accompanied by chanting mass,0.83538437
Street sweeper cleaning early morning roads,Route sweeper cleaning early morning roads,0.95011467
String quartet playing classical music,String quartet frolicking classical music,0.7940673
Subway announcement over speakers,Public transport announcement over speakers,0.79815185
Subway station with approaching train,Subway station featuring approaching train,0.95122194
Subway train passing through station,Metro express passing across station,0.8297897
Summer afternoon thunderstorm approaching,Summer afternoon deluge approaching,0.81367695
Summer carnival with rides and games,Summer carnival comprising rides alongside games,0.89347553
Summer insects buzzing in field,Summer insects murmuring in field,0.91011655
Summer night with crickets and frogs,Summer night with crickets alongside frogs,0.94564945
Summer rainstorm with distant thunder,Summer rainstorm with distant thunder,1.0
Sunday church bells across town,Sunday church bells across town,1.0
Sunset beach with gentle waves,Sunset beach plus tranquil whitecaps,0.7647339
Supermarket checkout with scanner beeps,Supermarket checkout accompanied by scanner beeps,0.9295105
Swimming underwater with bubbles,Swimming underwater with bubbles,0.99999994
Swimming pool with children playing,Swimming pool with children running,0.92915636
Swing squeaking in playground,Swing squeaking in play space,0.9299224
Swinging door in western saloon,Swinging door during western saloon,0.9427446
Symphony orchestra playing classical piece,Symphony orchestra working classical piece,0.9457691
Table tennis match with ball hits,Table tennis match including ball hits,0.9506331
Taking photographs with film camera,Taking photographs with film camera,1.0
Tap dancer on wooden stage,Tap dancer atop wooden stage,0.87349015
Tap water running into sink,Tap water sprinting into sink,0.88985926
Tape measure extending and retracting,Tape measure extending and retracting,1.0
Tea kettle starting to whistle,Tea kettle starting to whistle,1.0
Tea party with cups clinking,Tea party comprising cups clinking,0.9315679
Tearing open package or envelope,Tearing open package or envelope,1.0
Tearing wrapping paper excitedly,Tearing wrapping paper excitedly,1.0
Telephone ringing in empty office,Telephone tolling during empty headquarters,0.71867555
Television static noise,Television static noise,1.0
Tennis ball machine firing balls,Tennis ball machine firing balls,1.0
Tennis match with grunts and ball hits,Tennis match comprising grunts and ball hits,0.9292482
Theremin playing eerie melody,Theremin playing eerie melody,1.0
Ticking analog clock in quiet room,Beating analog timer among silent room,0.7432573
Ticking bomb in suspense scene,Tocking bomb during suspense scene,0.87901294
Tidal waves crashing on rocky shore,Tidal billows smashing on rocky shore,0.9276865
Tiger growling in jungle,Tiger growling during jungle,0.9311468
Timber being cut at sawmill,Timber being cut at sawmill,1.0
Time clock punching for work shift,Time timepiece punching for work shift,0.91921234
Tinkling wind chimes on porch,Tinkling draft chimes on porch,0.92879474
Tiny music box playing lullaby,Tiny music box operating lullaby,0.95136917
Tires screeching during emergency stop,Tires screeching in the midst of emergency stop,0.8802782
Toaster popping up toast,Toaster popping up toast,1.0000001
Toilet flushing in quiet bathroom,Toilet flushing amid quiet bathroom,0.9164343
Toll booth with cars stopping,Toll booth comprising cars stopping,0.91290915
Tools being dropped into metal toolbox,Tools being dropped en route to metal toolbox,0.8828609
Train crossing railroad tracks,Railway crossing railroad tracks,0.9383596
Train horn in distance at night,Train horn throughout distance at night,0.91669655
Train passing through rural crossing,Transit vehicle passing through rural crossing,0.9010892
Train station announcement over speakers,Railway station announcement over speakers,0.9272413
Train whistle echoing through valley,Train whistle echoing amid valley,0.9594202
Tram bell ringing in city street,Tram bell tolling inside metropolitan area boulevard,0.8154379
Transmission radio static with voice,Transmission radio static together with voice,0.92491305
Tree branches scraping window in wind,Tree branches scraping window inside wind,0.96119124
Tree falling in forest with crash,Tree falling during forest including crash,0.9036384
Tree frogs chorus after rain,Tree frogs chorus later than rain,0.94082165
Tribal drum circle performance,Tribal drum circle performance,1.0
Tropical bird calls in jungle,Tropical bird calls in jungle,1.0
Tropical rainstorm on palm leaves,Tropical rainstorm over palm leaf cover,0.92790806
Truck backing up with warning beep,Truck backing up together with warning beep,0.9596116
Trumpet playing reveille at dawn,Trumpet frolicking reveille during dawn,0.8470836
Tumbling clothes in dryer,Tumbling clothes in dryer,1.0
Turning pages of newspaper,Turning pages of newspaper,1.0
TV game show with crowd reactions,TV game show together with multitude reactions,0.8586228
Typewriter with end-of-line bell,Typewriter plus end-of-line bell,0.9482233
Typing on computer keyboard,Typing across digital system keyboard,0.81555283
Typing on old mechanical typewriter,Typing across ancient mechanical typewriter,0.857733
Underwater bubbles from scuba gear,Underwater bubbles from scuba gear,0.99999994
Underwater sounds with whale song,Underwater sounds comprising whale song,0.90997463
University lecture hall before class,University lecture hall before class,1.0
Urban street corner with traffic,Urban avenue corner comprising automobiles,0.7813107
Vacuum cleaner running on carpet,Vacuum cleaner running covering carpet,0.94418466
Velcro fastener being pulled apart,Velcro fastener being pulled apart,1.0
Venetian gondolier singing on canal,Venetian gondolier singing against canal,0.96903634
Video arcade with game sounds,Video arcade featuring game sounds,0.9472896
Video game victory fanfare,Video game victory fanfare,1.0
Village blacksmith hammering metal,Village blacksmith hammering metal,1.0
Village church bells on Sunday,Village church bells against Sunday,0.9299414
Vinyl record being placed on turntable,Vinyl record being placed over turntable,0.9609587
Vinyl record crackling before music,Vinyl record crackling in advance of music,0.8965363
Violin being tuned before concert,Violin being tuned in front of concert,0.9060851
Violin string breaking during play,Violin string breaking throughout play,0.93011355
Virtual reality game with spatial audio,Virtual reality game alongside spatial audio,0.9363492
Volcano rumbling before eruption,Volcano rumbling prior to eruption,0.97775936
Wading through shallow stream,Wading amidst shallow stream,0.8551829
Walking across wooden bridge,Strolling across wooden bridge,0.83989596
Walking in deep snow with crunching steps,Ambulating amidst intense snow accompanied by crunching steps,0.73653984
Walking on autumn leaves,Strolling over autumn leaf cover,0.75225633
Walking on creaky wooden floor,Stepping over unstable wooden floor,0.7799626
Walking on gravel path in garden,Marching on gravel path within garden,0.87972283
Walking through corn field with rustling stalks,Treading throughout corn field comprising rustling stalks,0.84018886
Walking through heavy rain with umbrella,Walking by way of strong downpour accompanied by umbrella,0.81341445
Walking through shallow creek,Stepping through shallow creek,0.89888775
Walking through tall grass meadow,Strolling through tall grass meadow,0.92384315
Walking up creaky wooden staircase,Stepping up unstable wooden staircase,0.82533574
Warehouse with forklift operations,Warehouse with forklift operations,1.0
Washing dishes in kitchen sink,Washing dishes amidst kitchen sink,0.8667346
Washing machine cycle running,Washing apparatus cycle running,0.9159138
Water boiling in pot with lid rattling,Water boiling within pot with lid rattling,0.9704719
Water bubbling in fish tank,Water bubbling in fish tank,1.0
Water dripping in cave with echoes,Water dripping inside cave with echoes,0.97232604
Water dripping into bucket slowly,Water dripping bound for bucket slowly,0.9228904
Water droplets falling on hot surface,Water droplets falling on hot surface,1.0
Water fountain in quiet garden,Water fountain inside quiet garden,0.92759186
Water lapping against dock pilings,Water lapping against dock pilings,1.0
Water pouring from pitcher into glass,Water pouring from pitcher into glass,0.9999998
Water sprinkler on summer lawn,Water sprinkler against summer lawn,0.9534631
Waterfall in lush jungle setting,Water drop during lush jungle setting,0.8473164
Waves crashing during coastal storm,Waves smashing in the midst of coastal storm,0.8570379
Wedding ceremony with organ music,Wedding ceremony comprising organ music,0.9256954
Whales breaching ocean surface,Whales breaching ocean surface,1.0
Whispering in empty cathedral,Whispering in empty cathedral,1.0
Wind chimes during gentle breeze,Wind chimes for the duration of tranquil breeze,0.83152246
Wind howling through mountain pass,Zephyr howling throughout mountain pass,0.77971953
Wind through autumn leaves in park,Wind amid autumn leaves within park,0.9170625
