prompt_A,prompt_B,cosine_similarity
Rock slide down mountain slope,Rock slide down crag slope during a precisely misty morning,0.67014825
Rocket launch countdown and ignition,Rocket unmistakably launch countdown during addition to ignition,0.69544876
Rocking chair creaking on porch,Rocking chair grating spreading over deck,0.81412965
Roller coaster with screaming riders,Roller coaster plus screaming riders,0.93927693
Roller skating rink with music,Roller skating rink plus music,0.9410442
Rolling thunder after lightning,Rolling thundering behind lightning,0.862748
Rolling thunder approaching storm,Rolling boom advancing thunderstorm,0.8371302
Rollercoaster climbing chain lift,Rollercoaster sharp climbing chain lift,0.95159596
Roosters crowing at dawn on farm,Roosters crowing throughout dawn over farm,0.94918644
Rope swing over lake with splash,Rope swing above lake plus splash,0.94135386
Rotary phone dialing and ringing,Rotary communicator dialing coupled featuring bonging,0.6830938
Rowing boat with oars in water,Rowing boat including oars amidst water,0.8799175
Royal fanfare with trumpets,Royal fanfare featuring trumpets,0.9504943
Rugby match with referee whistle,Rugby match featuring distinctly referee whistle,0.8713724
Running dishwasher cycle,subtle Running dishwasher cycle,0.8176365
Running on treadmill at gym,Jogging on treadmill at subtle gym,0.84475696
Running water in bathroom sink,mellow Jogging water inside bathroom sink,0.6740227
Rushing mountain stream with birds,Rushing peak run featuring ornithes,0.6403531
Rustling paper gift wrapping,rich Murmuring paper gift wrapping,0.752742
Rusty gate swinging in wind,Rusty gate swinging resonant inside wind,0.8750471
Sailboat with wind in sails,Sailboat including draft during sails,0.8643036
Sand pouring through hourglass,Sand pouring amidst deep hourglass,0.8414183
Sand timer with grains falling,Sand timer featuring grains falling,0.93873334
Sandpaper sanding wood surface,rich Sandpaper sanding wood surface,0.9458935
Saxophonist playing in subway tunnel,Saxophonist playing between subway tunnel,0.953159
School bell ringing between classes,School jingle chiming between classes,0.8130481
School cafeteria during lunch hour,School cafeteria extraordinarily across lunch hour,0.83669764
School classroom with teacher lesson,School classroom accompanied by teacher lesson,0.8752776
School playground during recess,School subtle play space for the duration of recess,0.7862805
Scissors cutting through paper,Scissors cutting surrounded by paper,0.89599437
Scrabble tiles being shuffled,Scrabble tiles developing into shuffled,0.9114305
Scratching record on turntable,distant Scratching record above turntable,0.8098507
Scuba diving with breathing apparatus,Scuba diving possessing respiration apparatus,0.89559525
Sea gulls calling over harbor,Sea gulls calling covering harbor,0.9569225
Seagulls fighting over food,Seagulls fighting atop food,0.8866004
Search and rescue helicopter,warm Search and rescue chopper,0.79046285
Seashell with ocean sounds,Seashell comprising ocean sounds in springtime,0.80368197
Seaside boardwalk with carnival,Seaside boardwalk plus carnival,0.94554436
Serene spa with water features,Serene spa featuring water deep features,0.93251014
Sewing machine running steadily,Sewing equipment deep running steadily,0.87254304
Shaking dice in cup before roll,rich Shaking dice during cup before roll,0.8460734
Shaking maracas rhythmically,Shaking warm maracas rhythmically,0.95902634
Shamanic drumming ceremony,rich Shamanic drumming ceremony,0.91517544
Sharpening knife on whetstone,Sharpening bright knife against whetstone,0.92898756
Sharpening pencil with manual sharpener,distant Sharpening pencil featuring manual sharpener,0.9102086
Sheep bleating in field,Sheep bleating encircled by field,0.8383737
Ship creaking in rough seas,Ship creaking amid rough seas,0.95813364
Ship foghorn in harbor mist,Ship foghorn in the midst of harbor mist,0.89202166
Ship's bell ringing on deck,Ship's bell ringing over deck,0.9759435
Shopping cart rolling across parking lot,Shopping cart rolling stretching across parking lot,0.9555398
Shopping mall during holiday season,Shopping mall in especially the middle of holiday season,0.7812804
Short circuit with electrical sparks,Short sharp circuit comprising electrical sparks,0.87056446
Shower running in bathroom,Shower jogging throughout bathroom,0.73378074
Shuffling deck of playing cards,subtle Shuffling deck of functioning cards,0.8409019
Shutting car door firmly,Shutting conveyance door deep firmly,0.79503345
Silent forest with occasional twig snap,"Under moonlight, silent thicket comprising sporadic twig snap",0.77341795
Silent library with clock ticking,Silent archives adjacent to timekeeping device pulsing,0.7187253
Silent movie theater with piano accompaniment,Silent movie theater including piano subtle accompaniment,0.90920156
Silent night forest with owl hoots,Silent night forest comprising sharp owl hoots,0.9517064
Silent snowfall in city park,Silent snowfall during city sharp park,0.89932513
Singing bowl resonating,Melodizing bowl resonating,0.80713516
Single cricket chirping at night,Single cricket tweeting during night,0.8096452
Sizzling fajitas on hot plate,Sizzling fajitas atop hot plate,0.95948094
Skateboard rolling on pavement,Skateboard rolling atop pavement,0.8670728
Ski lift machinery operating,Ski lift deep machinery operating,0.9163662
Skiing down fresh powder slope,Skiing down fresh powder bright slope,0.94096184
Skydiver falling through air,Skydiver falling sharp through air,0.9500842
Skywriting airplane overhead,Skywriting mellow airplane overhead,0.73660415
Sleepy cat purring by fireplace,Sleepy kitty vibrating by fireplace,0.8389859
Sleigh bells jingling on horse-drawn sleigh,Sleigh bells jingling against horse drawn sleigh,0.94285464
Sliding glass door opening and closing,Sliding glass door sharp opening also closing,0.88642013
Slot machine spinning and paying out,Slot gadget spinning sharp and paying out,0.86116815
Slow ticking grandfather clock,Slow marking time grandfather clear chronometer,0.75406903
Slow water drip in quiet cave,Leisurely water drip surrounded by still cave on a foggy day,0.7102073
Small airplane propeller starting,Small rich airplane propeller starting,0.92723733
Small boat motor puttering,Small deep boat motor puttering,0.9641938
Small creek with water over rocks,Small creek with water over rubble beneath starlight,0.82584524
Small fountain in garden,Small fountain amidst garden patch,0.818478
Small stream babbling over rocks,Small run babbling atop crags,0.73883784
Small town parade with marching band,Small town parade rich accompanied by marching band,0.8849439
Small waves lapping at lake shore,Small surf lapping at the time of lake shore,0.865234
Smartphone notification sounds,subtle Smartphone notification sounds,0.86770403
Smoke detector battery warning beep,Smoke deep detector battery warning beep,0.956982
Snapping twigs while walking in forest,Snapping twigs when strolling during thicket,0.9007704
Sneakers squeaking on basketball court,Sneakers squeaking atop basketball deep court,0.89468145
Snoring person in deep sleep,Snoring person in deep distant sleep,0.9488282
Snow blower clearing driveway,clear Snow blower clearing driveway,0.902652
Snow falling from roof in large chunk,Snow falling from warm shelter in large chunk,0.904644
Snow plow clearing street at night,Snow plow clearing street at night in the business district,0.912519
Snow shovel scraping sidewalk,Snow shovel clear scraping sidewalk,0.9490631
Soccer ball being kicked in game,Soccer ball being kicked among game,0.8928827
Soccer match with referee whistle,Soccer match vividly featuring referee whistle,0.85457075
Soda fizzing in glass with ice,Soda fizzing inside glass flanking ice,0.9236733
Soft wind through autumn leaves,Soft air current via bright autumn leaves,0.87304926
Sonar pings in submarine,Ping system pings in the midst of submarine,0.68360597
Sorting coins into metal container,Sorting coins into copper container,0.95672417
Space shuttle launch sequence,Space shuttle clear launch sequence,0.92588705
Spaceship engine room ambience,Spaceship motor room atmosphere,0.915056
Sparkling wine cork popping,Sparkling wine mellow cork popping,0.8701174
Sparks from welder's torch,Sparks from subtle welder's torch,0.92876124
Speaking through walkie talkie with static,Speaking covering walkie talkie featuring static,0.8828325
Splashing in puddles with boots,Splashing inside puddles featuring boots,0.8858044
Splashing water in bathtub,Splashing rich water during bathtub,0.880283
Splitting firewood with axe,Splitting firewood with axe,1.0
Sports arena with cheering crowd,Sports arena parallel to applauding congregation,0.76576877
Sports car engine revving,Sports distant conveyance driving force revving,0.7327196
Spring peeper frogs chorus,rich Spring peeper frogs chorus,0.9586308
Squeaky door hinge opening slowly,Squeaky door hinge bright opening slowly,0.9472771
Squeaky floorboard in old house,Squeaky floorboard amidst antique building,0.8021852
Squeaky toy being repeatedly pressed,resonant Squeaky toy being repeatedly pressed,0.83785284
Squirrels chattering in trees,Squirrels chattering among trees,0.98174214
Stadium crowd doing the wave,Ballpark horde doing the wave,0.66502976
Stadium crowd singing team song,Ballpark throng warbling unmistakably team song,0.6203203
Stage curtain rising with mechanical sound,Stage curtain rising accompanied by mechanical sound,0.9319142
Stampeding cattle herd,warm Stampeding cattle herd,0.8626141
Starting car engine on cold morning,Starting automobile motor upon cold sunrise,0.8353975
Starting lawn mower engine,Starting lawn mower driving sharp force,0.80278116
Steam engine train departing station,Steam warm engine transit vehicle departing station,0.85948205
Steam escaping pressure cooker valve,Steam escaping pressure warm cooker valve,0.954955
Steam hissing from old radiator,Steam hissing from deep old radiator,0.95519745
Steam locomotive chugging along tracks,Steam profoundly locomotive chugging along tracks,0.8802014
Steam rising from hot springs,sharp Steam rising from hot springs,0.92143893
Steam train whistle in distance,Steam train whistle inside yonder,0.71428704
Steaming kettle beginning to whistle,Steaming kettle beginning warm to whistle,0.93317395
Steel drums playing Caribbean music,Steel drums working Caribbean distant music,0.9146539
Steel factory with molten metal pouring,Steel factory including molten noticeably steel pouring,0.79547274
Stethoscope hearing steady heartbeat,Stethoscope clear hearing steady cardiac rhythm,0.9102085
Stock market trading floor shouting,Stock subtle trading place trading floor shouting,0.85074437
Stone skipping across calm lake,Stone skipping over calm lake,0.9633126
Storm with heavy rain and thunder,Cloudburst featuring powerful rain coupled featuring thundercrack,0.7217506
Storyteller by campfire with crackling,Storyteller by combustion pit plus sparking,0.71762544
Street busker playing accordion,Street busker playing subtle accordion,0.93835133
Street cafe with distant conversations,Thoroughfare cafe containing far off talks,0.60933596
Street construction with jackhammer,Avenue construction clearly featuring jackhammer,0.783751
Street market with vendors calling,Route market distinctly comprising vendors calling,0.65681213
Street musician playing violin,Boulevard musician rich operating violin,0.71685433
Street performer tap dancing,Road performer subtle tap dancing,0.8636284
Street protest with chanting crowd,Avenue protest particularly comprising chanting mass,0.80089355
Street sweeper cleaning early morning roads,Route sweeper cleaning early sunrise roads,0.89158034
String quartet playing classical music,String quartet frolicking resonant classical music,0.7042601
Subway announcement over speakers,Public transport announcement atop speakers,0.68892
Subway station with approaching train,Subway station featuring getting especially nearer train,0.8212351
Subway train passing through station,Metro express particularly passing across station,0.7536435
Summer afternoon thunderstorm approaching,Summer afternoon deluge getting nearer,0.7545779
Summer carnival with rides and games,Summer carnival comprising rides adjacent to games,0.8506096
Summer insects buzzing in field,Summer deep insects murmuring in field,0.8731405
Summer night with crickets and frogs,Summer night including crickets beside frogs,0.91766274
Summer rainstorm with distant thunder,Summer rainstorm featuring distant rolling thunder,0.9392818
Sunday church bells across town,Sunday church bells extending along town,0.8596246
Sunset beach with gentle waves,"After rainfall, sunset beach plus tranquil whitecaps",0.70694995
Supermarket checkout with scanner beeps,Supermarket checkout featuring scanner beeps,0.9615573
Swimming underwater with bubbles,Swimming underwater possessing bubbles,0.8759622
Swimming pool with children playing,Swimming pool accompanied by children running,0.81325364
Swing squeaking in playground,Swing squeaking during play space,0.90816045
Swinging door in western saloon,Swinging door during clear western saloon,0.9039049
Symphony orchestra playing classical piece,Symphony musical group working classical piece,0.8789959
Table tennis match with ball hits,Table tennis match incorporating ball hits,0.9052453
Taking photographs with film camera,Taking bright photographs with film camera,0.9459593
Tap dancer on wooden stage,Tap dancer atop pine stage,0.8193818
Tap water running into sink,Tap water distant sprinting into sink,0.8174743
Tape measure extending and retracting,Tape measure extending and warm retracting,0.94580036
Tea kettle starting to whistle,Tea kettle warm starting to whistle,0.92640704
Tea party with cups clinking,Tea party comprising cups deep clinking,0.8591597
Tearing open package or envelope,Tearing open package mellow or envelope,0.8555376
Tearing wrapping paper excitedly,Tearing wrapping resonant paper excitedly,0.8468007
Telephone ringing in empty office,Telephone tolling bright during empty headquarters,0.77823144
Television static noise,Television static rich noise,0.8883188
Tennis ball machine firing balls,Tennis bright ball machine firing balls,0.92751753
Tennis match with grunts and ball hits,mellow Tennis match comprising grunts and ball hits,0.8743846
Theremin playing eerie melody,warm Theremin playing eerie melody,0.9538543
Ticking analog clock in quiet room,Beating analog timer surrounded by silent room,0.74027777
Ticking bomb in suspense scene,Tocking bomb during resonant suspense scene,0.85209423
Tidal waves crashing on rocky shore,Tidal billows smashing on boulder-strewn shore,0.8568746
Tiger growling in jungle,warm Tiger growling during jungle,0.8315369
Timber being cut at sawmill,Timber growing cut at sawmill,0.937103
Time clock punching for work shift,Time timepiece punching distant for work shift,0.88813275
Tinkling wind chimes on porch,Tinkling draft tinkling bells resting on stoop,0.7606202
Tiny music box playing lullaby,Tiny clear music box operating lullaby,0.9226694
Tires screeching during emergency stop,Tires screeching in the midst rich of emergency stop,0.78186095
Toaster popping up toast,Toaster resonant popping up toast,0.8336837
Toilet flushing in quiet bathroom,Toilet flushing amid soundless bathroom,0.8589935
Toll booth with cars stopping,Toll sharp booth comprising cars stopping,0.8905003
Tools being dropped into metal toolbox,Tools changing to dropped en route to aluminum toolbox,0.76971376
Train crossing railroad tracks,Railway profoundly crossing railroad tracks,0.6309716
Train horn in distance at night,Train horn for the duration of far-off at night,0.7417337
Train passing through rural crossing,Transit vehicle passing through rural mellow crossing,0.83256966
Train station announcement over speakers,Railway station announcement shrouding speakers,0.78091836
Train whistle echoing through valley,Train whistle echoing surrounded by valley,0.8899483
Tram bell ringing in city street,Tram jingle tolling inside metropolitan area boulevard,0.79321253
Transmission radio static with voice,Transmission radio static amid addition to voice,0.8238676
Tree branches scraping window in wind,Tree branches bright scraping window inside wind,0.87422913
Tree falling in forest with crash,Tree falling during forestland with crash,0.90389127
Tree frogs chorus after rain,Tree frogs chorus later than rain at dawn,0.8980484
Tribal drum circle performance,Tribal drum circle bright performance,0.9322393
Tropical bird calls in jungle,Tropical bird calls inside jungle,0.9404503
Tropical rainstorm on palm leaves,Tropical rainstorm above palm leaf cover,0.9105134
Truck backing up with warning beep,Truck backing up along accompanied by warning beep,0.9109291
Trumpet playing reveille at dawn,Trumpet frolicking resonant reveille during dawn,0.800753
Tumbling clothes in dryer,Tumbling clothes during dryer,0.9213121
Turning pages of newspaper,Turning manuscript of newspaper,0.83460224
TV game show with crowd reactions,TV game show combined containing gathering reactions,0.7650998
Typewriter with end-of-line bell,Typing apparatus plus end of line tinkle,0.73443854
Typing on computer keyboard,Typing extending along digital system keyboard,0.7283427
Typing on old mechanical typewriter,Typing extending along ancient mechanical typing device,0.72620463
Underwater bubbles from scuba gear,Underwater warm bubbles from scuba gear,0.96146494
Underwater sounds with whale song,Underwater warm sounds comprising whale song,0.8953014
University lecture hall before class,University lecture subtle hall before class,0.912179
Urban street corner with traffic,Urban intensely avenue corner comprising automobiles,0.6953827
Vacuum cleaner running on carpet,Vacuum cleaner running mellow covering carpet,0.88026106
Velcro fastener being pulled apart,Velcro fastener getting pulled apart,0.9749318
Venetian gondolier singing on canal,Venetian gondolier vocalizing against canal,0.90241444
Video arcade with game sounds,warm Video arcade featuring game sounds,0.8756845
Video game victory fanfare,rich Video game victory fanfare,0.9125755
Village blacksmith hammering metal,Village blacksmith hammering steel,0.973866
Village church bells on Sunday,Village church bells against resonant Sunday,0.7632091
Vinyl record being placed on turntable,Vinyl record growing placed above turntable,0.8984465
Vinyl record crackling before music,Vinyl record crackling inside advance of music,0.9183661
Violin being tuned before concert,Violin developing into tuned throughout front of musical event,0.7432076
Violin string breaking during play,Violin string breaking over the course of play,0.8472966
Virtual reality game with spatial audio,Virtual reality game alongside vividly spatial audio,0.87307847
Volcano rumbling before eruption,"At dawn, volcano roaring in preparation for eruption",0.7064966
Wading through shallow stream,Wading amidst shallow stream in early morning,0.7578517
Walking across wooden bridge,Strolling over maple bridge,0.7737657
Walking in deep snow with crunching steps,Ambulating amidst intense snow bordering pulverizing steps,0.6531098
Walking on autumn leaves,"During sunrise, strolling over autumn leaf cover",0.70057476
Walking on creaky wooden floor,Stepping blanketing unstable timber floor,0.6819416
Walking on gravel path in garden,Marching against gravel path amid garden patch,0.7917391
Walking through corn field with rustling stalks,Treading during corn field comprising rustling stalks,0.79805386
Walking through heavy rain with umbrella,Walking by way of strong downpour including umbrella,0.78541195
Walking through shallow creek,Stepping through shallow waterway,0.8103891
Walking through tall grass meadow,Strolling warm through tall grass meadow,0.89798427
Walking up creaky wooden staircase,Stepping up unstable timber staircase,0.7913132
Warehouse with forklift operations,Warehouse featuring forklift operations,0.9411124
Washing dishes in kitchen sink,distant Washing dishes amidst kitchen sink,0.7972925
Washing machine cycle running,clear Washing apparatus cycle running,0.8548626
Water boiling in pot with lid rattling,Water boiling inside pot containing lid rattling,0.9401746
Water bubbling in fish tank,Water bubbling amidst fish tank,0.8784081
Water dripping in cave with echoes,Water dripping inside cave featuring echoes at dusk,0.8537123
Water dripping into bucket slowly,Water dripping bound deep for bucket slowly,0.900344
Water droplets falling on hot surface,Water droplets falling upon hot surface,0.978795
Water fountain in quiet garden,Water fountain inside hushed garden,0.8087573
Water lapping against dock pilings,Water lapping bright against dock pilings,0.9079065
Water pouring from pitcher into glass,rich Water pouring from pitcher into glass,0.9274801
Water sprinkler on summer lawn,Water sprinkler clear against summer lawn,0.9091642
Waterfall in lush jungle setting,Water clearly drop during lush jungle setting,0.7822844
Waves crashing during coastal storm,Billows smashing in the midst of coastal cloudburst,0.7080386
Wedding ceremony with organ music,Wedding ceremony sharp comprising organ music,0.89146566
Whales breaching ocean surface,Whales breaching ocean subtle surface,0.9310984
Whispering in empty cathedral,Whispering during empty cathedral,0.937145
Wind chimes during gentle breeze,Wind tinkling bells for the duration of tranquil draft,0.68310213
Wind howling through mountain pass,Zephyr wailing in the midst of elevation corridor,0.595886
Wind through autumn leaves in park,Wind in the middle of autumn leaves contained in park,0.80821043
